STATIONS_ID, MESS_DATUM,date, QUALITAETS_NIVEAU, LUFTTEMPERATUR,DAMPFDRUCK,BEDECKUNGSGRAD,LUFTDRUCK_STATIONSHOEHE,REL_FEUCHTE, WINDGESCHWINDIGKEIT, LUFTTEMPERATUR_MAXIMUM,LUFTTEMPERATUR_MINIMUM,LUFTTEMP_AM_ERDB_MINIMUM, WINDSPITZE_MAXIMUM, NIEDERSCHLAGSHOEHE,NIEDERSCHLAGSHOEHE_IND,SONNENSCHEINDAUER, SCHNEEHOEHE,eor
1766,20000214,2/14/00,10,3.7,6.4,4.3,1012.8,83,3.6,7.3,-0.8,-1.6,8.5,3.8,6,7,0,eor
1766,20000215,2/15/00,10,6.5,7.8,7.3,1004.7,79,4.5,9.1,3.8,3.2,10.1,4.7,6,0.8,0,eor
1766,20000216,2/16/00,10,2.2,6.2,6,991.9,85,5.8,5.5,0.7,2.3,18,5.4,8,3.3,0,eor
1766,20000217,2/17/00,10,1.3,6.4,4,1000,94,3.3,3.6,0.1,-0.8,9.4,0.7,8,0.2,1,eor
1766,20000218,2/18/00,10,2.9,7.1,7.7,994.7,96,3.4,5,0.3,-1.2,9.1,7.8,8,0,1,eor
1766,20000219,2/19/00,10,3.6,7.7,7.3,999.5,95,4.6,5.6,2.8,2.9,12,2.4,6,0,0,eor
1766,20000220,2/20/00,10,1,5.3,2,1019.8,79,3.4,6.1,-1.2,-2.6,11.7,0,6,7.3,0,eor
1766,20000221,2/21/00,10,1.6,5.1,7.3,1021.2,78,1.4,4.7,-4.5,-7,5.4,0.1,6,4.5,0,eor
1766,20000222,2/22/00,10,3.9,7.2,6.7,1017.3,87,3.5,6.4,2.4,1.7,8.4,0,6,0.1,0,eor
1766,20000223,2/23/00,10,3.2,6.2,4.7,1017.8,82,1.4,8.5,-2.8,-5.1,6.3,3.6,6,4.8,0,eor
1766,20000224,2/24/00,10,6.8,8.5,8,1013.6,84,4.3,9.4,3.4,1.1,10.8,20,8,0,0,eor
1766,20000225,2/25/00,10,2.7,6.1,4,1017.9,81,3.1,8.2,0.1,-0.1,11.9,0.5,8,3.5,1,eor
